Name,group,class,code,designation
White-crowned x Golden-crowned Sparrow (hybrid),PASSERIFORMES,H,NA
Dark-eyed Junco,PASSERIFORMES,S,1
Dark-eyed Junco (Slate-colored),PASSERIFORMES,SS,1
Dark-eyed Junco (Oregon),PASSERIFORMES,SS,NA
Dark-eyed Junco (Pink-sided),PASSERIFORMES,SS,NA
sparrow sp.,PASSERIFORMES,SP,NA
Yellow-breasted Chat,PASSERIFORMES,S,3
Yellow-headed Blackbird,PASSERIFORMES,S,2
Bobolink,PASSERIFORMES,S,5
Western Meadowlark,PASSERIFORMES,S,1
Orchard Oriole,PASSERIFORMES,S,5
Hooded Oriole,PASSERIFORMES,S,3
Bullock's Oriole,PASSERIFORMES,S,2
Baltimore Oriole,PASSERIFORMES,S,4
Red-winged Blackbird,PASSERIFORMES,S,1
Tricolored Blackbird,PASSERIFORMES,S,3
Brown-headed Cowbird,PASSERIFORMES,S,1
Rusty Blackbird,PASSERIFORMES,S,5
Brewer's Blackbird,PASSERIFORMES,S,1
Great-tailed Grackle,PASSERIFORMES,S,2
Ovenbird,PASSERIFORMES,S,5
Northern Waterthrush,PASSERIFORMES,S,4
Black-and-white Warbler,PASSERIFORMES,S,4
Tennessee Warbler,PASSERIFORMES,S,4
Orange-crowned Warbler,PASSERIFORMES,S,2
Nashville Warbler,PASSERIFORMES,S,3
MacGillivray's Warbler,PASSERIFORMES,S,2
Common Yellowthroat,PASSERIFORMES,S,2
Hooded Warbler,PASSERIFORMES,S,5
American Redstart,PASSERIFORMES,S,4
Northern Parula,PASSERIFORMES,S,4
Magnolia Warbler,PASSERIFORMES,S,5
Bay-breasted Warbler,PASSERIFORMES,S,5
Yellow Warbler,PASSERIFORMES,S,1
Chestnut-sided Warbler,PASSERIFORMES,S,4
Blackpoll Warbler,PASSERIFORMES,S,4
Black-throated Blue Warbler,PASSERIFORMES,S,5
Palm Warbler,PASSERIFORMES,S,5
Yellow-rumped Warbler,PASSERIFORMES,S,1
Yellow-rumped Warbler (Myrtle),PASSERIFORMES,SS,NA
Yellow-rumped Warbler (Audubon's),PASSERIFORMES,SS,NA
Yellow-throated Warbler,PASSERIFORMES,S,5
Black-throated Gray Warbler,PASSERIFORMES,S,2
Townsend's Warbler,PASSERIFORMES,S,2
Hermit Warbler,PASSERIFORMES,S,3
Black-throated Green Warbler,PASSERIFORMES,S,5
Canada Warbler,PASSERIFORMES,S,5
Wilson's Warbler,PASSERIFORMES,S,1
warbler sp. (Parulidae sp.),PASSERIFORMES,SP,NA
Summer Tanager,PASSERIFORMES,S,4
Western Tanager,PASSERIFORMES,S,1
Rose-breasted Grosbeak,PASSERIFORMES,S,4
Black-headed Grosbeak,PASSERIFORMES,S,2
Blue Grosbeak,PASSERIFORMES,S,2
Lazuli Bunting,PASSERIFORMES,S,2
Indigo Bunting,PASSERIFORMES,S,4
